# qz I
2.335694828061196952e-04 1.587500000000000000e+01
4.671389647955186217e-04 1.504166666666666607e+01
7.007084451514760922e-04 1.533333333333333393e+01
9.342779230572715275e-04 1.629166666666666785e+01
1.167847397696184864e-03 1.566666666666666607e+01
1.401416868251494086e-03 1.541666666666666607e+01
1.634986333906480105e-03 1.612500000000000000e+01
1.868555793844422315e-03 1.670833333333333215e+01
2.102125247248599026e-03 1.758333333333333215e+01
2.335694693302292884e-03 1.641666666666666785e+01
2.569264131188779814e-03 1.800000000000000000e+01
2.802833560091343764e-03 1.637500000000000000e+01
3.036402979193261742e-03 1.604166666666666785e+01
3.269972387677817696e-03 1.566666666666666607e+01
3.503541784728291236e-03 1.512500000000000000e+01
3.737111169527960238e-03 1.487500000000000000e+01
7.941357069976456504e-03 1.504166666666666607e+01
8.174926066834597646e-03 1.566666666666666607e+01
8.408495035107618407e-03 1.591666666666666607e+01
8.642063973978804034e-03 1.608333333333333215e+01
8.875632882631444981e-03 1.566666666666666607e+01
9.109201760248828231e-03 1.700000000000000000e+01
9.342770606014247706e-03 1.762500000000000000e+01
9.576339419110990389e-03 1.654166666666666785e+01
9.809908198722348469e-03 1.662500000000000000e+01
1.004347694403161413e-02 1.812500000000000000e+01
1.027704565422207089e-02 1.791666666666666785e+01
1.051061432847702481e-02 1.779166666666666785e+01
1.074418296597976809e-02 1.716666666666666785e+01
1.097775156591358596e-02 1.912500000000000000e+01
1.121132012746177929e-02 1.891666666666666785e+01
1.144488864980764374e-02 1.758333333333333215e+01
1.167845713213446629e-02 1.958333333333333215e+01
1.191202557362556168e-02 2.070833333333333215e+01
1.214559397346420995e-02 2.041666666666666785e+01
1.237916233083371544e-02 2.250000000000000000e+01
1.261273064491738073e-02 2.591666666666666785e+01
1.284629891489850496e-02 2.454166666666666785e+01
1.307986713996038379e-02 2.691666666666666785e+01
1.331343531928632327e-02 2.595833333333333215e+01
1.354700345205961907e-02 3.129166666666666785e+01
1.378057153746357726e-02 2.883333333333333215e+01
1.401413957468150735e-02 3.312500000000000000e+01
1.424770756289670849e-02 3.220833333333333570e+01
1.448127550129248327e-02 3.833333333333333570e+01
1.471484338905214295e-02 3.995833333333333570e+01
1.494841122535899881e-02 4.112500000000000000e+01
1.518197900939634304e-02 4.358333333333333570e+01
1.541554674034750251e-02 4.287500000000000000e+01
1.564911441739577982e-02 4.645833333333333570e+01
1.588268203972448625e-02 4.775000000000000000e+01
1.611624960651692959e-02 4.616666666666666430e+01
1.634981711695642631e-02 5.400000000000000000e+01
1.658338457022628595e-02 5.291666666666666430e+01
1.681695196550984234e-02 5.725000000000000000e+01
1.705051930199038071e-02 5.883333333333333570e+01
1.728408657885123836e-02 6.370833333333333570e+01
1.751765379527572830e-02 6.258333333333333570e+01
1.775122095044717394e-02 6.666666666666667140e+01
1.798478804354888480e-02 7.125000000000000000e+01
1.821835507376419472e-02 7.425000000000000000e+01
1.845192204027640628e-02 7.287500000000000000e+01
1.868548894226887067e-02 7.900000000000000000e+01
1.891905577892489393e-02 8.425000000000000000e+01
1.915262254942778561e-02 9.037500000000000000e+01
1.938618925296091769e-02 9.308333333333332860e+01
1.961975588870758236e-02 9.733333333333332860e+01
1.985332245585111691e-02 1.094583333333333286e+02
2.008688895357485169e-02 1.089583333333333286e+02
2.032045538106211705e-02 1.163333333333333286e+02
2.055402173749625028e-02 1.173750000000000000e+02
2.078758802206059561e-02 1.283333333333333428e+02
2.102115423393846258e-02 1.367083333333333428e+02
2.125472037231320235e-02 1.429583333333333428e+02
2.148828643636815916e-02 1.494166666666666572e+02
2.172185242528665294e-02 1.578333333333333428e+02
2.195541833825204181e-02 1.675000000000000000e+02
2.218898417444766305e-02 1.800000000000000000e+02
2.242254993305685049e-02 1.892083333333333428e+02
2.265611561326295528e-02 1.999166666666666572e+02
2.288968121424933208e-02 2.135416666666666572e+02
2.312324673519931817e-02 2.315416666666666572e+02
2.335681217529626472e-02 2.575000000000000000e+02
2.359037753372351595e-02 2.895416666666666856e+02
2.382394280966442304e-02 3.229583333333333144e+02
2.405750800230234757e-02 3.613333333333333144e+02
2.429107311082065110e-02 4.094166666666666856e+02
2.452463813440267093e-02 5.006250000000000000e+02
2.475820307223176864e-02 6.738750000000000000e+02
2.499176792349130580e-02 8.243750000000000000e+02
2.522533268736465439e-02 1.137958333333333258e+03
2.545889736303514131e-02 1.576166666666666742e+03
2.569246194968617322e-02 1.612083333333333258e+03
2.592602644650109089e-02 1.549666666666666742e+03
2.615959085266325937e-02 1.485875000000000000e+03
2.639315516735605757e-02 1.332708333333333258e+03
2.662671938976285055e-02 1.152166666666666742e+03
2.686028351906699640e-02 1.089208333333333258e+03
2.709384755445190182e-02 1.085625000000000000e+03
2.732741149510091797e-02 1.101958333333333258e+03
2.756097534019740294e-02 1.144208333333333258e+03
2.779453908892476691e-02 1.219416666666666742e+03
2.802810274046638184e-02 1.238083333333333258e+03
2.826166629400561625e-02 1.142791666666666742e+03
2.849522974872586642e-02 9.586250000000000000e+02
2.872879310381052168e-02 7.918750000000000000e+02
2.896235635844294012e-02 7.026250000000000000e+02
2.919591951180653192e-02 7.115416666666666288e+02
2.942948256308468638e-02 7.462083333333333712e+02
2.966304551146078938e-02 7.770833333333333712e+02
2.989660835611824760e-02 7.154583333333333712e+02
3.013017109624044343e-02 6.295833333333333712e+02
3.036373373101077314e-02 5.482083333333333712e+02
3.059729625961264340e-02 5.438333333333333712e+02
3.083085868122944703e-02 5.397083333333333712e+02
3.106442099504459417e-02 6.017916666666666288e+02
3.129798320024148456e-02 6.037916666666666288e+02
3.153154529600352141e-02 5.573333333333333712e+02
3.176510728151412527e-02 4.927083333333333144e+02
3.199866915595670630e-02 4.378750000000000000e+02
3.223223091851466077e-02 4.150000000000000000e+02
3.246579256837140576e-02 4.176250000000000000e+02
3.269935410471037224e-02 4.435833333333333144e+02
3.293291552671496342e-02 4.564583333333333144e+02
3.316647683356861026e-02 4.413333333333333144e+02
3.340003802445473680e-02 4.315000000000000000e+02
3.363359909855676705e-02 4.288750000000000000e+02
3.386716005505810423e-02 4.198750000000000000e+02
3.410072089314220012e-02 4.355000000000000000e+02
3.433428161199248568e-02 4.449583333333333144e+02
3.456784221079237801e-02 4.406250000000000000e+02
3.480140268872532888e-02 4.156250000000000000e+02
3.503496304497476926e-02 3.992500000000000000e+02
3.526852327872411624e-02 3.713333333333333144e+02
3.550208338915685630e-02 3.546250000000000000e+02
3.573564337545639263e-02 3.570833333333333144e+02
3.596920323680618398e-02 3.595000000000000000e+02
3.620276297238966823e-02 3.814583333333333144e+02
3.643632258139032493e-02 4.042083333333333144e+02
3.666988206299157810e-02 4.185416666666666856e+02
3.690344141637689340e-02 4.408333333333333144e+02
3.713700064072972262e-02 4.485416666666666856e+02
3.737055973523351754e-02 4.518333333333333144e+02
3.760411869907174381e-02 4.396250000000000000e+02
3.783767753142787404e-02 4.269166666666666856e+02
3.807123623148538777e-02 4.167916666666666856e+02
3.830479479842770207e-02 3.938750000000000000e+02
3.853835323143833119e-02 3.617500000000000000e+02
3.877191152970074078e-02 3.462916666666666856e+02
3.900546969239837569e-02 3.365000000000000000e+02
3.923902771871476403e-02 3.296250000000000000e+02
3.947258560783335063e-02 3.247083333333333144e+02
3.970614335893760810e-02 3.197500000000000000e+02
3.993970097121105761e-02 3.110833333333333144e+02
4.017325844383715094e-02 2.994583333333333144e+02
4.040681577599938845e-02 2.848333333333333144e+02
4.064037296688128437e-02 2.731250000000000000e+02
4.087393001566631129e-02 2.674583333333333144e+02
4.110748692153795569e-02 2.534583333333333428e+02
4.134104368367973875e-02 2.360416666666666572e+02
4.157460030127514694e-02 2.155833333333333428e+02
4.180815677350769449e-02 1.955416666666666572e+02
4.204171309956088870e-02 1.833333333333333428e+02
4.227526927861823686e-02 1.647916666666666572e+02
4.250882530986321850e-02 1.515000000000000000e+02
4.274238119247941725e-02 1.443333333333333428e+02
4.297593692565029183e-02 1.342916666666666572e+02
4.320949250855937729e-02 1.213333333333333286e+02
4.344304794039022255e-02 1.097500000000000000e+02
4.367660322032631409e-02 1.050416666666666714e+02
4.391015834755116615e-02 9.858333333333332860e+01
4.414371332124838315e-02 9.625000000000000000e+01
4.437726814060143771e-02 9.041666666666667140e+01
4.461082280479387180e-02 8.575000000000000000e+01
4.484437731300924823e-02 8.075000000000000000e+01
4.507793166443108124e-02 7.891666666666667140e+01
4.531148585824291281e-02 7.275000000000000000e+01
4.554503989362832655e-02 7.225000000000000000e+01
4.577859376977083672e-02 6.770833333333332860e+01
4.601214748585400610e-02 6.600000000000000000e+01
4.624570104106139751e-02 6.487500000000000000e+01
4.647925443457656680e-02 5.900000000000000000e+01
4.671280766558304903e-02 6.195833333333333570e+01
4.694636073326444170e-02 5.683333333333333570e+01
4.717991363680430067e-02 5.687500000000000000e+01
4.741346637538617487e-02 5.391666666666666430e+01
4.764701894819364791e-02 4.962500000000000000e+01
4.788057135441032425e-02 5.091666666666666430e+01
4.811412359321973892e-02 5.129166666666666430e+01
4.834767566380551024e-02 4.666666666666666430e+01
4.858122756535118020e-02 4.591666666666666430e+01
4.881477929704036017e-02 4.308333333333333570e+01
4.904833085805665460e-02 4.295833333333333570e+01
4.928188224758362629e-02 4.262500000000000000e+01
4.951543346480490743e-02 4.329166666666666430e+01
4.974898450890403306e-02 4.054166666666666430e+01
4.998253537906466315e-02 4.008333333333333570e+01
5.021608607447038825e-02 4.016666666666666430e+01
5.044963659430479891e-02 3.758333333333333570e+01
5.068318693775153427e-02 4.054166666666666430e+01
5.091673710399417102e-02 3.750000000000000000e+01
5.115028709221638298e-02 3.941666666666666430e+01
5.138383690160173295e-02 3.904166666666666430e+01
5.161738653133386007e-02 3.779166666666666430e+01
5.185093598059640346e-02 3.775000000000000000e+01
5.208448524857298145e-02 3.733333333333333570e+01
5.231803433444723317e-02 3.670833333333333570e+01
5.255158323740279774e-02 3.237500000000000000e+01
5.278513195662330043e-02 3.387500000000000000e+01
5.301868049129240812e-02 3.291666666666666430e+01
5.325222884059372525e-02 2.925000000000000000e+01
5.745606649950535383e-02 2.862500000000000000e+01
5.768961117171615000e-02 2.887500000000000000e+01
5.792315564223283336e-02 2.912500000000000000e+01
5.815669991023908469e-02 3.200000000000000000e+01
5.839024397491857782e-02 2.950000000000000000e+01
5.862378783545510452e-02 2.758333333333333215e+01
5.885733149103235945e-02 3.045833333333333215e+01
5.909087494083406500e-02 3.175000000000000000e+01
5.932441818404395745e-02 2.725000000000000000e+01
5.955796121984580777e-02 3.095833333333333215e+01
5.979150404742331754e-02 2.950000000000000000e+01
6.002504666596026467e-02 3.000000000000000000e+01
6.025858907464037850e-02 2.950000000000000000e+01
6.049213127264743001e-02 3.162500000000000000e+01
6.072567325916511383e-02 2.875000000000000000e+01
6.095921503337726338e-02 3.187500000000000000e+01
6.119275659446762189e-02 2.933333333333333215e+01
6.142629794161996032e-02 3.050000000000000000e+01
6.165983907401800801e-02 2.795833333333333215e+01
6.189337999084559838e-02 3.050000000000000000e+01
6.212692069128646771e-02 2.841666666666666785e+01
6.236046117452440779e-02 2.775000000000000000e+01
6.259400143974323816e-02 2.737500000000000000e+01
6.282754148612672285e-02 2.708333333333333215e+01
6.306108131285864671e-02 2.820833333333333215e+01
6.329462091912281541e-02 2.691666666666666785e+01
6.352816030410302073e-02 2.745833333333333215e+01
6.376169946698308222e-02 2.704166666666666785e+01
6.399523840694683330e-02 2.862500000000000000e+01
6.422877712317801024e-02 2.700000000000000000e+01
6.446231561486051587e-02 2.620833333333333215e+01
6.469585388117811420e-02 2.512500000000000000e+01
6.492939192131465254e-02 2.487500000000000000e+01
6.516292973445396430e-02 2.745833333333333215e+01
6.539646731977989680e-02 2.520833333333333215e+01
6.563000467647622793e-02 2.687500000000000000e+01
6.586354180372687439e-02 2.495833333333333215e+01
6.609707870071561409e-02 2.545833333333333215e+01
6.633061536662633595e-02 2.466666666666666785e+01
6.656415180064288728e-02 2.633333333333333215e+01
6.679768800194911538e-02 2.512500000000000000e+01
6.703122396972886754e-02 2.554166666666666785e+01
6.726475970316607433e-02 2.591666666666666785e+01
6.749829520144452755e-02 2.437500000000000000e+01
6.773183046374812999e-02 2.508333333333333215e+01
6.796536548926074284e-02 2.370833333333333215e+01
6.819890027716628278e-02 2.208333333333333215e+01
6.843243482664861099e-02 2.366666666666666785e+01
6.866596913689164416e-02 2.316666666666666785e+01
6.889950320707925735e-02 2.266666666666666785e+01
6.913303703639531173e-02 2.279166666666666785e+01
6.936657062402379337e-02 2.320833333333333215e+01
6.960010396914854958e-02 2.545833333333333215e+01
6.983363707095348316e-02 2.316666666666666785e+01
7.006716992862253857e-02 2.383333333333333215e+01
7.030070254133964636e-02 2.183333333333333215e+01
7.053423490828866771e-02 2.341666666666666785e+01
7.076776702865361646e-02 2.233333333333333215e+01
7.100129890161838153e-02 2.116666666666666785e+01
7.123483052636687962e-02 2.195833333333333215e+01
7.146836190208309680e-02 2.166666666666666785e+01
7.170189302795092201e-02 2.308333333333333215e+01
7.193542390315434132e-02 2.258333333333333215e+01
7.216895452687732693e-02 2.270833333333333215e+01
